param d :
	1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40 :=
0	2.8391 2.0185 0.91283 -0.17266 -0.9558 -1.2629 -1.0764 -0.53049 0.14192 0.69202 0.93771 0.8192 0.40962 -0.12032 -0.56929 -0.77877 -0.68701 -0.34551 0.10596 0.49482 0.68028 0.60326 0.30432 -0.095676 -0.44354 -0.61164 -0.54415 -0.27503 0.08787 0.40547 0.5603 0.49958 0.25283 -0.081695 -0.37576 -0.52003 -0.46442 -0.23525 0.076656 0.35176
1	2.8392 2.0188 0.91336 -0.17207 -0.95538 -1.2628 -1.0768 -0.53129 0.14103 0.69138 0.93761 0.81972 0.41062 -0.11921 -0.5685 -0.77863 -0.68762 -0.34667 0.10466 0.49389 0.6801 0.60393 0.30563 -0.094216 -0.44249 -0.61143 -0.54489 -0.27647 0.086265 0.40431 0.56006 0.50038 0.25439 -0.079956 -0.37452 -0.51977 -0.46528 -0.23693 0.074792 0.35042
2	2.8395 2.0197 0.91493 -0.17029 -0.95409 -1.2627 -1.0781 -0.53367 0.13836 0.68946 0.93729 0.82128 0.41361 -0.11587 -0.56609 -0.77818 -0.68942 -0.35016 0.10077 0.49109 0.67954 0.60595 0.30955 -0.089833 -0.43934 -0.61078 -0.5471 -0.28078 0.081444 0.40084 0.55933 0.50277 0.25906 -0.074733 -0.37075 -0.51896 -0.46782 -0.24193 0.069196 0.34638
3	2.8399 2.0213 0.91755 -0.16732 -0.95194 -1.2625 -1.0802 -0.53764 0.1339 0.68625 0.93674 0.82386 0.41857 -0.11029 -0.56207 -0.77739 -0.69239 -0.35595 0.094265 0.48638 0.67856 0.60926 0.31606 -0.082516 -0.43403 -0.60962 -0.55071 -0.28794 0.073393 0.39498 0.55801 0.50665 0.2668 -0.066009 -0.36439 -0.51749 -0.47195 -0.25021 0.059846 0.33954
4	2.8405 2.0234 0.92122 -0.16315 -0.94893 -1.2621 -1.0831 -0.54318 0.12765 0.68172 0.93592 0.82744 0.4255 -0.10248 -0.55638 -0.77622 -0.69648 -0.36402 0.085143 0.47971 0.67707 0.61379 0.32512 -0.072249 -0.42648 -0.60785 -0.55561 -0.29787 0.062092 0.38664 0.55596 0.51188 0.27753 -0.053759 -0.3553 -0.51517 -0.47748 -0.26168 0.046713 0.32976
5	2.8413 2.0262 0.92594 -0.15779 -0.94503 -1.2616 -1.0869 -0.55029 0.1196 0.67584 0.93479 0.83195 0.43437 -0.092407 -0.54898 -0.77457 -0.70161 -0.37432 0.073386 0.47101 0.67496 0.61941 0.33666 -0.059009 -0.4166 -0.60529 -0.56165 -0.3105 0.047516 0.37568 0.55296 0.51827 0.29113 -0.037956 -0.34333 -0.51174 -0.48416 -0.27617 0.029767 0.31682
6	2.8423 2.0296 0.9317 -0.15123 -0.94023 -1.261 -1.0914 -0.55895 0.10974 0.66859 0.93329 0.83736 0.44514 -0.080069 -0.5398 -0.77236 -0.70767 -0.38681 0.058974 0.46016 0.67208 0.62599 0.3506 -0.042778 -0.40425 -0.60175 -0.56863 -0.3257 0.029644 0.36193 0.54877 0.52555 0.30747 -0.018579 -0.32825 -0.50741 -0.49167 -0.29351 0.0089933 0.30048
7	2.8435 2.0335 0.93851 -0.14346 -0.93453 -1.2602 -1.0967 -0.56915 0.098066 0.65991 0.93137 0.84358 0.45779 -0.065448 -0.52877 -0.76946 -0.71456 -0.4014 0.041891 0.44707 0.66825 0.63335 0.36683 -0.023537 -0.38928 -0.59698 -0.5763 -0.34333 0.0084624 0.3452 0.54305 0.53342 0.32631 0.0043781 -0.30985 -0.5002 -0.4996 -0.31341 -0.015602 0.28047
8	2.8448 2.0381 0.94635 -0.13449 -0.92789 -1.2591 -1.1027 -0.58087 0.084557 0.64975 0.92892 0.85055 0.47225 -0.048529 -0.51579 -0.76573 -0.72213 -0.41802 0.022123 0.4316 0.66325 0.64126 0.3852 -0.0012802 -0.37151 -0.59069 -0.58435 -0.36318 -0.016027 0.32527 0.53544 0.54143 0.3474 0.030893 -0.28785 -0.49124 -0.50744 -0.33555 -0.043975 0.25649
9	2.8463 2.0433 0.95524 -0.12429 -0.9203 -1.2578 -1.1094 -0.59408 0.069206 0.63806 0.92587 0.85814 0.48846 -0.0293 -0.50077 -0.76102 -0.7302 -0.43654 -0.00033551 0.41362 0.65685 0.64947 0.40556 0.023987 -0.35077 -0.58257 -0.59244 -0.38501 -0.04379 0.30192 0.52554 0.54916 0.3704 0.060899 -0.26201 -0.47949 -0.51463 -0.35947 -0.076017 0.22825
